entity_id,type,code,canonical_name,tier,market_cap_bil,aliases,parent,gics1,gics2,gics3,sources
TICKER:A32,TICKER,A32,CTCP 32,2,204.0,CTCP 32,,Hàng tiêu dùng không thiết yếu,Hàng tiêu dùng lâu bền và trang phục,"Dệt may & Trang phục, phụ kiện",company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AAA,TICKER,AAA,CTCP Nhựa An Phát Xanh,1,2909.76,CTCP Nhựa An Phát Xanh | Nhựa An Phát Xanh,,Nguyên vật liệu,Vật liệu xây dựng,Bao bì và đóng gói,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AAH,TICKER,AAH,CTCP Hợp Nhất,2,200.43,CTCP Hợp Nhất | Hợp Nhất,,Năng lượng,Năng lượng,Than đá và nhiên liệu khác,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AAN,TICKER,AAN,CTCP Lương thực A An,1,1466.4,CTCP Lương thực A An | Lương thực A An,,Hàng tiêu dùng thiết yếu,Thực phẩm & Đồ uống,Thực phẩm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AAS,TICKER,AAS,CTCP Chứng khoán SmartInvest,1,1978.0,CTCP Chứng khoán SmartInvest | Chứng khoán SmartInvest,,Tài chính,Công ty chứng khoán,Công ty chứng khoán,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AAT,TICKER,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,2,146.6,CTCP Tập Đoàn Tiên Sơn Thanh Hóa | Tiên Sơn Thanh Hóa,,Hàng tiêu dùng không thiết yếu,Hàng tiêu dùng lâu bền và trang phục,"Dệt may & Trang phục, phụ kiện",company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:AAV,TICKER,AAV,CTCP AAV Group,1,420.82,CTCP AAV Group | AAV Group,,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản phức hợp,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ABB,TICKER,ABB,Ngân hàng TMCP An Bình,1,27797.36,Ngân hàng TMCP An Bình | An Bình,,Tài chính,Ngân hàng,Ngân hàng,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ABC,TICKER,ABC,CTCP Truyền thông VMG,2,201.85,CTCP Truyền thông VMG | Truyền thông VMG,,Dịch vụ viễn thông,Dịch vụ viễn thông,Dịch vụ viễn thông đa ngành,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ABI,TICKER,ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,1,1905.34,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam | Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,,Tài chính,Bảo hiểm,Bảo hiểm,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
TICKER:ABR,TICKER,ABR,CTCP Đầu tư Nhãn hiệu Việt,2,204.0,CTCP Đầu tư Nhãn hiệu Việt | Đầu tư Nhãn hiệu Việt,,Dịch vụ viễn thông,Dịch vụ viễn thông,Dịch vụ viễn thông đa ngành,company_data/company_name.xlsx ; trading_data/market_caps.parquet ; trading_data/os.xlsx ; industry_classification/industry_classification.xlsx
