tickers,etfs,indices,exchanges,industries,nations,themes,macro,assets,institutions,entities
HPG,E1VFVN30,VNINDEX,HOSE,THEP,,,,,,
FPT,,VN30,HNX,NGAN_HANG,,,,,,
VCB,,UPINDEX,UPCOM,DAU_KHI,,,,,,
VNM,,VNXALL,,QUY,,,,,,
MWG,,,,XAY_DUNG,,,,,,
AAA,,,,CONG_TY_CHUNG_KHOAN,,,,,,
HCM,,,,BAO_HIEM,,,,,,
VIC,,,,DIEN,,,,,,
SSI,,,,NUOC,,,,,,
OIL,,,,PHAN_BON,,,,,,
BSR,,,,THUC_PHAM,,,,,,
VHM,,,,VAN_TAI,,,,,,
GMD,,,,BAN_LE,,,,,,
VIB,,,,CONG_TY_CHUNG_KHOAN,,,,,,
VPB,,,,CONG_NGHE,,,,,,
BID,,,,,,,,,,
CTG,,,,,,,,,,
VIX,,,,,,,,,,
TLG,,,,,,,,,,
PET,,,,,,,,,,
DHA,,,,,,,,,,
LPB,,,,,,,,,,
GEX,,,,,,,,,,
HDB,,,,,,,,,,
STB,,,,,,,,,,
VCI,,,,,,,,,,
VCK,,,,,,,,,,
